Name,Tags,Title,PDF,Summary
Ponder2005-et,"Directed mutation debate, Spatial Non-randomness, Temporal Non-randomness",A switch from high-fidelity to error-prone {DNA} double-strand break repair underlies stress-induced mutation,../Ponder_et_al._2005_-_A_switch_from_high-fidelity_to_error-prone_DNA_double-strand_break_repair_underlies_stress-induced_mutation.pdf,
Garcia2016-ey,Prion,A common bacterial metabolite elicits prion-based bypass of glucose repression,../Garcia_et_al._2016_-_A_common_bacterial_metabolite_elicits_prion-based_bypass_of_glucose_repression.pdf,
Stolovicki2006-sd,,Synthetic gene recruitment reveals adaptive reprogramming of gene regulation in yeast,../Stolovicki_et_al._2006_-_Synthetic_gene_recruitment_reveals_adaptive_reprogramming_of_gene_regulation_in_yeast.pdf,
Lenski1993-wz,Directed mutation debate,The directed mutation controversy and neo-Darwinism,../Lenski_and_Mittler_1993_-_The_directed_mutation_controversy_and_neo-Darwinism.pdf,
Brisson2003-bu,Directed mutation debate,The directed mutation controversy in an evolutionary context,../Brisson_2003_-_The_directed_mutation_controversy_in_an_evolutionary_context.pdf,
Xue2016-ng,Theory,Evolutionary learning of adaptation to varying environments through a transgenerational feedback,../Xue_and_Leibler_2016_-_Evolutionary_learning_of_adaptation_to_varying_environments_through_a_transgenerational_feedback.pdf,
Rivoire2014-lh,Theory,A model for the generation and transmission of variations in evolution,../Rivoire_and_Leibler_2014_-_A_model_for_the_generation_and_transmission_of_variations_in_evolution.pdf,
Hull2017-bn,"CNV, Spatial Non-randomness, Temporal Non-randomness, UK Based",Environmental change drives accelerated adaptation through stimulated copy number variation,../Hull_et_al._2017_-_Environmental_change_drives_accelerated_adaptation_through_stimulated_copy_number_variation.pdf,
Murugan2015-rz,Theory,Multifarious assembly mixtures: systems allowing retrieval of diverse stored structures,../Murugan_et_al._2015_-_Multifarious_assembly_mixtures_-_systems_allowing_retrieval_of_diverse_stored_structures.pdf,
Biddle2021-by,"Biological Computation, Theory",Allosteric conformational ensembles have unlimited capacity for integrating information,../Biddle_et_al._2021_-_Allosteric_conformational_ensembles_have_unlimited_capacity_for_integrating_information.pdf,
Venkataraman2022-hg,"Biological Computation, Theory",Processive and distributive non-equilibrium networks discriminate in alternate limits,../Venkataraman_et_al._2022_-_Processive_and_distributive_non-equilibrium_networks_discriminate_in_alternate_limits.pdf,
Itakura2020-vq,Prion,Widespread {Prion-Based} Control of Growth and Differentiation Strategies in Saccharomyces cerevisiae,../Itakura_et_al._2020_-_Widespread_Prion-Based_Control_of_Growth_and_Differentiation_Strategies_in_Saccharomyces_cerevisiae.pdf,
Morgenthaler2019-za,Enzyme Promiscuity,Mutations that improve efficiency of a weak-link enzyme are rare compared to adaptive mutations elsewhere in the genome,../Morgenthaler_et_al._2019_-_Mutations_that_improve_efficiency_of_a_weak-link_enzyme_are_rare_compared_to_adaptive_mutations_elsewhere_in_the_genome.pdf,
Kristofich2018-kd,Synonymous Mutations,Synonymous mutations make dramatic contributions to fitness when growth is limited by a weak-link enzyme,../Kristofich_et_al._2018_-_Synonymous_mutations_make_dramatic_contributions_to_fitness_when_growth_is_limited_by_a_weak-link_enzyme.pdf,
Gunawardena2012-eg,Non-equilibrium,A linear framework for time-scale separation in nonlinear biochemical systems,../Gunawardena_2012_-_A_linear_framework_for_time-scale_separation_in_nonlinear_biochemical_systems.pdf,
Jakobson2019-fq,Synonymous Mutations,Molecular Origins of Complex Heritability in Natural {Genotype-to-Phenotype} Relationships,../Jakobson_and_Jarosz_2019_-_Molecular_Origins_of_Complex_Heritability_in_Natural_Genotype-to-Phenotype_Relationships.pdf,
Khanal2015-sl,Enzyme Promiscuity,Differential effects of a mutation on the normal and promiscuous activities of orthologs: implications for natural and directed evolution,../Khanal_et_al._2015_-_Differential_effects_of_a_mutation_on_the_normal_an_..._vities_of_orthologs_-_implications_for_natural_and_directed_evolution.pdf,
Copley2007-xo,Metabolism,The origin of the {RNA} world: co-evolution of genes and metabolism,../Copley_et_al._2007_-_The_origin_of_the_RNA_world_-_co-evolution_of_genes_and_metabolism.pdf,
Holmes2017-md,Directed mutation debate,"{Luria-Delbr{\u}ck}, revisited: the classic experiment does not rule out Lamarckian evolution",../Holmes_et_al._2017_-_Luria-Delbruck_revisited_-_the_classic_experiment_does_not_rule_out_Lamarckian_evolution.pdf,
Serobyan2020-ck,Transcriptional Adaptation,Transcriptional adaptation in Caenorhabditis elegans,../Serobyan_et_al._2020_-_Transcriptional_adaptation_in_Caenorhabditis_elegans.pdf,
Chakravarty2020-xf,"LLPS, Prion",A Non-amyloid Prion Particle that Activates a Heritable Gene Expression Program,../Chakravarty_et_al._2020_-_A_Non-amyloid_Prion_Particle_that_Activates_a_Heritable_Gene_Expression_Program.pdf,
Melo2012-zi,,Inactivation of conserved C. elegans genes engages pathogen- and xenobiotic-associated defenses,../Melo_and_Ruvkun_2012_-_Inactivation_of_conserved_C._elegans_genes_engages_pathogen-_and_xenobiotic-associated_defenses.pdf,
Kaletsky2020-hn,,C. elegans interprets bacterial non-coding {RNAs} to learn pathogenic avoidance,../Kaletsky_et_al._2020_-_C._elegans_interprets_bacterial_non-coding_RNAs_to_learn_pathogenic_avoidance.pdf,
Hull2019-qq,"CNV, Spatial Non-randomness, Temporal Non-randomness, UK Based",Transcription-induced formation of extrachromosomal {DNA} during yeast ageing,../Hull_et_al._2019_-_Transcription-induced_formation_of_extrachromosomal_DNA_during_yeast_ageing.pdf,
Cotton2022-in,"LLPS, Non-equilibrium, Theory, UK Based",{Catalysis-Induced} Phase Separation and Autoregulation of Enzymatic Activity,../Cotton_et_al._2022_-_Catalysis-Induced_Phase_Separation_and_Autoregulation_of_Enzymatic_Activity.pdf,
Baez2005-lo,"Granule, Prion, RNA",Mammalian Smaug is a translational repressor that forms cytoplasmic foci similar to stress granules,../Baez_and_Boccaccio_2005_-_Mammalian_Smaug_is_a_translational_repressor_that_forms_cytoplasmic_foci_similar_to_stress_granules.pdf,
