Name,People,Tags,Title,Year,PDF,Journal
Akkaya2018-ud,,Metabolism,The Metabolic Redox Regime of Pseudomonas putida Tunes Its Evolvability toward Novel Xenobiotic Substrates,2018,Cell%20Learning/Akkaya_et_al._2018_-_The_Metabolic_Redox_Regime_of_Pseudomonas_putida_Tunes_Its_Evolvability_toward_Novel_Xenobiotic_Substrates.pdf,MBio
Baez2005-lo,,"Granule, Prion, RNA",Mammalian Smaug is a translational repressor that forms cytoplasmic foci similar to stress granules,2005,Cell%20Learning/Baez_and_Boccaccio_2005_-_Mammalian_Smaug_is_a_translational_repressor_that_forms_cytoplasmic_foci_similar_to_stress_granules.pdf,J. Biol. Chem.
Bedecarrats2018-xx,,"Neurons, RNA Transfer",{RNA} from Trained Aplysia Can Induce an Epigenetic Engram for {Long-Term} Sensitization in Untrained Aplysia,2018,Cell%20Learning/Bedecarrats_et_al._2018_-_RNA_from_Trained_Aplysia_Can_Induce_an_Epigenetic_Engram_for_Long-Term_Sensitization_in_Untrained_Aplysia.pdf,eNeuro
Biddle2021-by,Jeremy Gunawardena,"Biological Computation, Theory",Allosteric conformational ensembles have unlimited capacity for integrating information,2021,Cell%20Learning/Biddle_et_al._2021_-_Allosteric_conformational_ensembles_have_unlimited_capacity_for_integrating_information.pdf,Elife
Brisson2003-bu,,Directed mutation debate,The directed mutation controversy in an evolutionary context,2003,Cell%20Learning/Brisson_2003_-_The_directed_mutation_controversy_in_an_evolutionary_context.pdf,Crit. Rev. Microbiol.
Chakravarty2020-xf,Daniel Jarosz,"LLPS, Prion",A Non-amyloid Prion Particle that Activates a Heritable Gene Expression Program,2020,Cell%20Learning/Chakravarty_et_al._2020_-_A_Non-amyloid_Prion_Particle_that_Activates_a_Heritable_Gene_Expression_Program.pdf,Mol. Cell
Clabough2006-oc,,Tri-nucleotide Repeats,Deletion of the triplet repeat encoding polyglutamine within the mouse Huntington's disease gene results in subtle behavioral/motor phenotypes in vivo and elevated levels of {ATP} with cellular senescence in vitro,2006,Cell%20Learning/Clabough_and_Zeitlin_2006_-_Deletion_of_the_triplet_repeat_encoding_poly_..._otor_phenotypes_in_vivo_and_elevated_levels_of_ATP_with_cellular_sen....pdf,Hum. Mol. Genet.
Copley2007-xo,"Eric Smith, Shelley D Copley",Metabolism,The origin of the {RNA} world: co-evolution of genes and metabolism,2007,Cell%20Learning/Copley_et_al._2007_-_The_origin_of_the_RNA_world_-_co-evolution_of_genes_and_metabolism.pdf,Bioorg. Chem.
Cotton2022-in,,"LLPS, Non-equilibrium, Theory, UK Based",{Catalysis-Induced} Phase Separation and Autoregulation of Enzymatic Activity,2022,Cell%20Learning/Cotton_et_al._2022_-_Catalysis-Induced_Phase_Separation_and_Autoregulation_of_Enzymatic_Activity.pdf,Phys. Rev. Lett.
De_Jesus_Astacio2021-ld,Seppe Kuehn,"Ecosystems, Metabolism",Closed microbial communities self-organize to persistently cycle carbon,2021,Cell%20Learning/de_Jesus_Astacio_et_al._2021_-_Closed_microbial_communities_self-organize_to_persistently_cycle_carbon.pdf,Proceedings of the National Academy of Sciences
Deshe2020-zt,,"Neurons, RNA Transfer",Inheritance of associative memories in C. elegans nematodes,2020,Cell%20Learning/Deshe_et_al._2020_-_Inheritance_of_associative_memories_in_C._elegans_nematodes.pdf,bioRxiv
Feynman1974-rs,,,Cargo Cult Science,1974,Cell%20Learning/Feynman_1974_-_Cargo_Cult_Science.pdf,NA
Fondon2004-lt,,"Accelerated Evolution, Evolution",Molecular origins of rapid and continuous morphological evolution,2004,Cell%20Learning/Fondon_and_Garner_2004_-_Molecular_origins_of_rapid_and_continuous_morphological_evolution.pdf,Proc. Natl. Acad. Sci. U. S. A.
Garcia2016-ey,Daniel Jarosz,Prion,A common bacterial metabolite elicits prion-based bypass of glucose repression,2016,Cell%20Learning/Garcia_et_al._2016_-_A_common_bacterial_metabolite_elicits_prion-based_bypass_of_glucose_repression.pdf,Elife
Gershman2022-sk,,Neurons,The molecular memory code and synaptic plasticity: a synthesis,2022,Cell%20Learning/Gershman_2022_-_The_molecular_memory_code_and_synaptic_plasticity_-_a_synthesis.pdf,ArXiv
Gunawardena2012-eg,Jeremy Gunawardena,Non-equilibrium,A linear framework for time-scale separation in nonlinear biochemical systems,2012,Cell%20Learning/Gunawardena_2012_-_A_linear_framework_for_time-scale_separation_in_nonlinear_biochemical_systems.pdf,PLoS One
Holmes2017-md,Ilya Nemenman,Directed mutation debate,"{Luria-Delbr{\u}ck}, revisited: the classic experiment does not rule out Lamarckian evolution",2017,Cell%20Learning/Holmes_et_al._2017_-_Luria-Delbruck_revisited_-_the_classic_experiment_does_not_rule_out_Lamarckian_evolution.pdf,Phys. Biol.
Hull2017-bn,Jonathan Houseley,"CNV, Spatial Non-randomness, Temporal Non-randomness, UK Based",Environmental change drives accelerated adaptation through stimulated copy number variation,2017,Cell%20Learning/Hull_et_al._2017_-_Environmental_change_drives_accelerated_adaptation_through_stimulated_copy_number_variation.pdf,PLoS Biol.
Hull2019-qq,Jonathan Houseley,"CNV, Spatial Non-randomness, Temporal Non-randomness, UK Based",Transcription-induced formation of extrachromosomal {DNA} during yeast ageing,2019,Cell%20Learning/Hull_et_al._2019_-_Transcription-induced_formation_of_extrachromosomal_DNA_during_yeast_ageing.pdf,PLoS Biol.
Itakura2020-vq,Daniel Jarosz,Prion,Widespread {Prion-Based} Control of Growth and Differentiation Strategies in Saccharomyces cerevisiae,2020,Cell%20Learning/Itakura_et_al._2020_-_Widespread_Prion-Based_Control_of_Growth_and_Differentiation_Strategies_in_Saccharomyces_cerevisiae.pdf,Mol. Cell
Iyer2015-pu,,"MMR, Neurons, Review, Tri-nucleotide Repeats",{DNA} triplet repeat expansion and mismatch repair,2015,Cell%20Learning/Iyer_et_al._2015_-_DNA_triplet_repeat_expansion_and_mismatch_repair.pdf,Annu. Rev. Biochem.
Jakobson2019-fq,Daniel Jarosz,Synonymous Mutations,Molecular Origins of Complex Heritability in Natural {Genotype-to-Phenotype} Relationships,2019,Cell%20Learning/Jakobson_and_Jarosz_2019_-_Molecular_Origins_of_Complex_Heritability_in_Natural_Genotype-to-Phenotype_Relationships.pdf,Cell Syst
Jordan2013-el,,,Behavioral diversity in microbes and low-dimensional phenotypic spaces,2013,Cell%20Learning/Jordan_et_al._2013_-_Behavioral_diversity_in_microbes_and_low-dimensional_phenotypic_spaces.pdf,Proc. Natl. Acad. Sci. U. S. A.
Kaletsky2020-hn,,,C. elegans interprets bacterial non-coding {RNAs} to learn pathogenic avoidance,2020,Cell%20Learning/Kaletsky_et_al._2020_-_C._elegans_interprets_bacterial_non-coding_RNAs_to_learn_pathogenic_avoidance.pdf,Nature
Katzir2012-ci,Erez Braun,"Accelerated Evolution, Biological Computation",Cellular plasticity enables adaptation to unforeseen cell-cycle rewiring challenges,2012,Cell%20Learning/Katzir_et_al._2012_-_Cellular_plasticity_enables_adaptation_to_unforeseen_cell-cycle_rewiring_challenges.pdf,PLoS One
Khanal2015-sl,Shelley D Copley,Enzyme Promiscuity,Differential effects of a mutation on the normal and promiscuous activities of orthologs: implications for natural and directed evolution,2015,Cell%20Learning/Khanal_et_al._2015_-_Differential_effects_of_a_mutation_on_the_normal_an_..._vities_of_orthologs_-_implications_for_natural_and_directed_evolution.pdf,Mol. Biol. Evol.
Kristofich2018-kd,Shelley D Copley,Synonymous Mutations,Synonymous mutations make dramatic contributions to fitness when growth is limited by a weak-link enzyme,2018,Cell%20Learning/Kristofich_et_al._2018_-_Synonymous_mutations_make_dramatic_contributions_to_fitness_when_growth_is_limited_by_a_weak-link_enzyme.pdf,PLoS Genet.
Lai2016-kd,,Tri-nucleotide Repeats,Crosstalk between {MSH2-MSH3} and pol$\beta$ promotes trinucleotide repeat expansion during base excision repair,2016,Cell%20Learning/Lai_et_al._2016_-_Crosstalk_between_MSH2-MSH3_and_pol_promotes_trinucleotide_repeat_expansion_during_base_excision_repair.pdf,Nat. Commun.
Lee2019-hj,,"Neurons, Tri-nucleotide Repeats",{CAG} Repeat Not Polyglutamine Length Determines Timing of Huntington's Disease Onset,2019,Cell%20Learning/Lee_et_al._2019_-_CAG_Repeat_Not_Polyglutamine_Length_Determines_Timing_of_Huntingtons_Disease_Onset.pdf,Cell
Lenski1993-wz,,Directed mutation debate,The directed mutation controversy and neo-Darwinism,1993,Cell%20Learning/Lenski_and_Mittler_1993_-_The_directed_mutation_controversy_and_neo-Darwinism.pdf,Science
Lycus2017-wq,,Ecosystems,Phenotypic and genotypic richness of denitrifiers revealed by a novel isolation strategy,2017,Cell%20Learning/Lycus_et_al._2017_-_Phenotypic_and_genotypic_richness_of_denitrifiers_revealed_by_a_novel_isolation_strategy.pdf,ISME J.
Madabhushi2015-sz,Li-Huei Tsai,"Activity-induced DSB, DSB, Neurons",{Activity-Induced} {DNA} Breaks Govern the Expression of Neuronal {Early-Response} Genes,2015,Cell%20Learning/Madabhushi_et_al._2015_-_Activity-Induced_DNA_Breaks_Govern_the_Expression_of_Neuronal_Early-Response_Genes.pdf,Cell
McMurray2010-ys,,"Review, Tri-nucleotide Repeats",Mechanisms of trinucleotide repeat instability during human development,2010,Cell%20Learning/McMurray_2010_-_Mechanisms_of_trinucleotide_repeat_instability_during_human_development.pdf,Nat. Rev. Genet.
Melo2012-zi,,,Inactivation of conserved C. elegans genes engages pathogen- and xenobiotic-associated defenses,2012,Cell%20Learning/Melo_and_Ruvkun_2012_-_Inactivation_of_conserved_C._elegans_genes_engages_pathogen-_and_xenobiotic-associated_defenses.pdf,Cell
Moore2014-xa,Erez Braun,"Biological Computation, Temporal Non-randomness",Induced mutations in yeast cell populations adapting to an unforeseen challenge,2014,Cell%20Learning/Moore_et_al._2014_-_Induced_mutations_in_yeast_cell_populations_adapting_to_an_unforeseen_challenge.pdf,PLoS One
Morgenthaler2019-za,Shelley D Copley,Enzyme Promiscuity,Mutations that improve efficiency of a weak-link enzyme are rare compared to adaptive mutations elsewhere in the genome,2019,Cell%20Learning/Morgenthaler_et_al._2019_-_Mutations_that_improve_efficiency_of_a_weak-link_enzyme_are_rare_compared_to_adaptive_mutations_elsewhere_in_the_genome.pdf,Elife
