Name,Bibtex,Journal,PDF,People,Summary,Tags,Title,URL,Year
Garcia2016-ey,"@ARTICLE{Garcia2016-ey,
title = ""A common bacterial metabolite elicits prion-based bypass of
glucose repression"",
author = ""Garcia, David M and Dietrich, David and Clardy, Jon and Jarosz,
Daniel F"",
journal = ""Elife"",
volume = 5,
month = nov,
year = 2016,
keywords = ""Dekkera bruxellensis; S. cerevisiae; Staphylococcus gallinarum;
catabolite repression; chromosomes; genes; infectious disease;
lactic acid; microbiology; molecular communication; prion"",
language = ""en""
}",Elife,Cell%20Learning/Garcia_et_al._2016_-_A_common_bacterial_metabolite_elicits_prion-based_bypass_of_glucose_repression.pdf,Daniel Jarosz,,Prion,A common bacterial metabolite elicits prion-based bypass of glucose repression,,2016
Ponder2005-et,"@ARTICLE{Ponder2005-et,
title = ""A switch from high-fidelity to error-prone {DNA} double-strand
break repair underlies stress-induced mutation"",
author = ""Ponder, Rebecca G and Fonville, Natalie C and Rosenberg, Susan M"",
journal = ""Mol. Cell"",
volume = 19,
number = 6,
pages = ""791--804"",
month = sep,
year = 2005,
language = ""en""
}",Mol. Cell,Cell%20Learning/Ponder_et_al._2005_-_A_switch_from_high-fidelity_to_error-prone_DNA_double-strand_break_repair_underlies_stress-induced_mutation.pdf,Susan M Rosenberg,,"Directed mutation debate, Spatial Non-randomness, Temporal Non-randomness",A switch from high-fidelity to error-prone {DNA} double-strand break repair underlies stress-induced mutation,,2005
Stolovicki2006-sd,"@ARTICLE{Stolovicki2006-sd,
title = ""Synthetic gene recruitment reveals adaptive reprogramming of gene
regulation in yeast"",
author = ""Stolovicki, Elad and Dror, Tali and Brenner, Naama and Braun,
Erez"",
journal = ""Genetics"",
volume = 173,
number = 1,
pages = ""75--85"",
month = may,
year = 2006,
language = ""en""
}",Genetics,Cell%20Learning/Stolovicki_et_al._2006_-_Synthetic_gene_recruitment_reveals_adaptive_reprogramming_of_gene_regulation_in_yeast.pdf,Erez Braun,,,Synthetic gene recruitment reveals adaptive reprogramming of gene regulation in yeast,,2006
Lenski1993-wz,"@ARTICLE{Lenski1993-wz,
title = ""The directed mutation controversy and neo-Darwinism"",
author = ""Lenski, R E and Mittler, J E"",
journal = ""Science"",
volume = 259,
number = 5092,
pages = ""188--194"",
month = jan,
year = 1993,
language = ""en""
}",Science,Cell%20Learning/Lenski_and_Mittler_1993_-_The_directed_mutation_controversy_and_neo-Darwinism.pdf,,,Directed mutation debate,The directed mutation controversy and neo-Darwinism,,1993
Brisson2003-bu,"@ARTICLE{Brisson2003-bu,
title = ""The directed mutation controversy in an evolutionary context"",
author = ""Brisson, Dustin"",
journal = ""Crit. Rev. Microbiol."",
volume = 29,
number = 1,
pages = ""25--35"",
year = 2003,
language = ""en""
}",Crit. Rev. Microbiol.,Cell%20Learning/Brisson_2003_-_The_directed_mutation_controversy_in_an_evolutionary_context.pdf,,,Directed mutation debate,The directed mutation controversy in an evolutionary context,,2003
Xue2016-ng,"@ARTICLE{Xue2016-ng,
title = ""Evolutionary learning of adaptation to varying environments
through a transgenerational feedback"",
author = ""Xue, Bingkan and Leibler, Stanislas"",
journal = ""Proc. Natl. Acad. Sci. U. S. A."",
volume = 113,
number = 40,
pages = ""11266--11271"",
month = oct,
year = 2016,
keywords = ""bet hedging; environmental fluctuations; epigenetic inheritance;
evolution; population growth"",
language = ""en""
}",Proc. Natl. Acad. Sci. U. S. A.,Cell%20Learning/Xue_and_Leibler_2016_-_Evolutionary_learning_of_adaptation_to_varying_environments_through_a_transgenerational_feedback.pdf,"BingKan Xue, Stanislas Leibler",,Theory,Evolutionary learning of adaptation to varying environments through a transgenerational feedback,,2016
Rivoire2014-lh,"@ARTICLE{Rivoire2014-lh,
title = ""A model for the generation and transmission of variations in
evolution"",
author = ""Rivoire, Olivier and Leibler, Stanislas"",
journal = ""Proc. Natl. Acad. Sci. U. S. A."",
volume = 111,
number = 19,
pages = ""E1940--9"",
month = may,
year = 2014,
keywords = ""Darwinian evolution; Lamarckism; acquired characteristics;
epigenetics; heredity"",
language = ""en""
}",Proc. Natl. Acad. Sci. U. S. A.,Cell%20Learning/Rivoire_and_Leibler_2014_-_A_model_for_the_generation_and_transmission_of_variations_in_evolution.pdf,"Olivier Rivoire, Stanislas Leibler",,Theory,A model for the generation and transmission of variations in evolution,,2014
Hull2017-bn,"@ARTICLE{Hull2017-bn,
title = ""Environmental change drives accelerated adaptation through
stimulated copy number variation"",
author = ""Hull, Ryan M and Cruz, Cristina and Jack, Carmen V and Houseley,
Jonathan"",
journal = ""PLoS Biol."",
volume = 15,
number = 6,
pages = ""e2001333"",
month = jun,
year = 2017,
language = ""en""
}",PLoS Biol.,Cell%20Learning/Hull_et_al._2017_-_Environmental_change_drives_accelerated_adaptation_through_stimulated_copy_number_variation.pdf,Jonathan Houseley,,"CNV, Spatial Non-randomness, Temporal Non-randomness, UK Based",Environmental change drives accelerated adaptation through stimulated copy number variation,,2017
Murugan2015-rz,"@ARTICLE{Murugan2015-rz,
title = ""Multifarious assembly mixtures: systems allowing retrieval of
diverse stored structures"",
author = ""Murugan, Arvind and Zeravcic, Zorana and Brenner, Michael P and
Leibler, Stanislas"",
journal = ""Proc. Natl. Acad. Sci. U. S. A."",
volume = 112,
number = 1,
pages = ""54--59"",
month = jan,
year = 2015,
keywords = ""complex materials; programmed assembly; stored structures"",
language = ""en""
}",Proc. Natl. Acad. Sci. U. S. A.,Cell%20Learning/Murugan_et_al._2015_-_Multifarious_assembly_mixtures_-_systems_allowing_retrieval_of_diverse_stored_structures.pdf,"Arvind Murugan, Stanislas Leibler, Zorana Zeravcic",,Theory,Multifarious assembly mixtures: systems allowing retrieval of diverse stored structures,,2015
Biddle2021-by,"@ARTICLE{Biddle2021-by,
title = ""Allosteric conformational ensembles have unlimited capacity for
integrating information"",
author = ""Biddle, John W and Martinez-Corral, Rosa and Wong, Felix and
Gunawardena, Jeremy"",
journal = ""Elife"",
volume = 10,
month = jun,
year = 2021,
keywords = ""allostery; conformational ensembles; higher-order coopeartivity;
information integration; linear framework; molecular biophysics;
none; physics of living systems; structural biology"",
language = ""en""
}",Elife,Cell%20Learning/Biddle_et_al._2021_-_Allosteric_conformational_ensembles_have_unlimited_capacity_for_integrating_information.pdf,Jeremy Gunawardena,,"Biological Computation, Theory",Allosteric conformational ensembles have unlimited capacity for integrating information,,2021
Venkataraman2022-hg,"@ARTICLE{Venkataraman2022-hg,
title = ""Processive and distributive non-equilibrium networks
discriminate in alternate limits"",
author = ""Venkataraman, G G and Miska, E A and Jordan, David J"",
journal = ""J Stat. Mech."",
volume = “”,
publisher = ""http://iopscience.iop.org/"",
year = 2022,
language = “en”
}",J Stat. Mech.,Cell%20Learning/Venkataraman_et_al._2022_-_Processive_and_distributive_non-equilibrium_networks_discriminate_in_alternate_limits.pdf,,,"Biological Computation, Theory",Processive and distributive non-equilibrium networks discriminate in alternate limits,,2022
Itakura2020-vq,"@ARTICLE{Itakura2020-vq,
title = ""Widespread {Prion-Based} Control of Growth and Differentiation
Strategies in Saccharomyces cerevisiae"",
author = ""Itakura, Alan K and Chakravarty, Anupam K and Jakobson,
Christopher M and Jarosz, Daniel F"",
journal = ""Mol. Cell"",
volume = 77,
number = 2,
pages = ""266--278.e6"",
month = jan,
year = 2020,
keywords = ""Adaptive prediction; Meiosis/gametogenesis; Phenotypic variation;
Transgenerational inheritance"",
language = ""en""
}",Mol. Cell,Cell%20Learning/Itakura_et_al._2020_-_Widespread_Prion-Based_Control_of_Growth_and_Differentiation_Strategies_in_Saccharomyces_cerevisiae.pdf,Daniel Jarosz,,Prion,Widespread {Prion-Based} Control of Growth and Differentiation Strategies in Saccharomyces cerevisiae,,2020
Morgenthaler2019-za,"@ARTICLE{Morgenthaler2019-za,
title = ""Mutations that improve efficiency of a weak-link enzyme are rare
compared to adaptive mutations elsewhere in the genome"",
author = ""Morgenthaler, Andrew B and Kinney, Wallis R and Ebmeier,
Christopher C and Walsh, Corinne M and Snyder, Daniel J and
Cooper, Vaughn S and Old, William M and Copley, Shelley D"",
journal = ""Elife"",
volume = 8,
month = dec,
year = 2019,
keywords = ""E. coli; ProA; amplification and divergence; evolution;
evolutionary biology; genetics; genomics; promiscuity"",
language = ""en""
}",Elife,Cell%20Learning/Morgenthaler_et_al._2019_-_Mutations_that_improve_efficiency_of_a_weak-link_enzyme_are_rare_compared_to_adaptive_mutations_elsewhere_in_the_genome.pdf,Shelley D Copley,,Enzyme Promiscuity,Mutations that improve efficiency of a weak-link enzyme are rare compared to adaptive mutations elsewhere in the genome,,2019
Kristofich2018-kd,"@ARTICLE{Kristofich2018-kd,
title = ""Synonymous mutations make dramatic contributions to fitness when
growth is limited by a weak-link enzyme"",
author = ""Kristofich, Johncarlo and Morgenthaler, Andrew B and Kinney,
Wallis R and Ebmeier, Christopher C and Snyder, Daniel J and Old,
William M and Cooper, Vaughn S and Copley, Shelley D"",
journal = ""PLoS Genet."",
volume = 14,
number = 8,
pages = ""e1007615"",
month = aug,
year = 2018,
language = ""en""
}",PLoS Genet.,Cell%20Learning/Kristofich_et_al._2018_-_Synonymous_mutations_make_dramatic_contributions_to_fitness_when_growth_is_limited_by_a_weak-link_enzyme.pdf,Shelley D Copley,,Synonymous Mutations,Synonymous mutations make dramatic contributions to fitness when growth is limited by a weak-link enzyme,,2018
Gunawardena2012-eg,"@ARTICLE{Gunawardena2012-eg,
title = ""A linear framework for time-scale separation in nonlinear
biochemical systems"",
author = ""Gunawardena, Jeremy"",
journal = ""PLoS One"",
volume = 7,
number = 5,
pages = ""e36321"",
month = may,
year = 2012,
language = ""en""
}",PLoS One,Cell%20Learning/Gunawardena_2012_-_A_linear_framework_for_time-scale_separation_in_nonlinear_biochemical_systems.pdf,Jeremy Gunawardena,,Non-equilibrium,A linear framework for time-scale separation in nonlinear biochemical systems,,2012
Jakobson2019-fq,"@ARTICLE{Jakobson2019-fq,
title = ""Molecular Origins of Complex Heritability in Natural
{Genotype-to-Phenotype} Relationships"",
author = ""Jakobson, Christopher M and Jarosz, Daniel F"",
journal = ""Cell Syst"",
volume = 8,
number = 5,
pages = ""363--379.e3"",
month = may,
year = 2019,
keywords = ""complex traits; functional genomics; quantitative genetics;
systems genetics"",
language = ""en""
}",Cell Syst,Cell%20Learning/Jakobson_and_Jarosz_2019_-_Molecular_Origins_of_Complex_Heritability_in_Natural_Genotype-to-Phenotype_Relationships.pdf,Daniel Jarosz,,Synonymous Mutations,Molecular Origins of Complex Heritability in Natural {Genotype-to-Phenotype} Relationships,,2019
Khanal2015-sl,"@ARTICLE{Khanal2015-sl,
title = ""Differential effects of a mutation on the normal and promiscuous
activities of orthologs: implications for natural and directed
evolution"",
author = ""Khanal, Akhil and Yu McLoughlin, Sean and Kershner, Jamie P and
Copley, Shelley D"",
journal = ""Mol. Biol. Evol."",
volume = 32,
number = 1,
pages = ""100--108"",
month = jan,
year = 2015,
keywords = ""ProA; enzyme evolution; epistasis; molecular evolution"",
language = ""en""
}",Mol. Biol. Evol.,Cell%20Learning/Khanal_et_al._2015_-_Differential_effects_of_a_mutation_on_the_normal_an_..._vities_of_orthologs_-_implications_for_natural_and_directed_evolution.pdf,Shelley D Copley,,Enzyme Promiscuity,Differential effects of a mutation on the normal and promiscuous activities of orthologs: implications for natural and directed evolution,,2015
Copley2007-xo,"@ARTICLE{Copley2007-xo,
title = ""The origin of the {RNA} world: co-evolution of genes and
metabolism"",
author = ""Copley, Shelley D and Smith, Eric and Morowitz, Harold J"",
journal = ""Bioorg. Chem."",
volume = 35,
number = 6,
pages = ""430--443"",
month = dec,
year = 2007,
language = ""en""
}",Bioorg. Chem.,Cell%20Learning/Copley_et_al._2007_-_The_origin_of_the_RNA_world_-_co-evolution_of_genes_and_metabolism.pdf,"Eric Smith, Shelley D Copley",,Metabolism,The origin of the {RNA} world: co-evolution of genes and metabolism,,2007
Holmes2017-md,"@ARTICLE{Holmes2017-md,
title = ""{Luria-Delbr{\""u}ck}, revisited: the classic experiment does not
rule out Lamarckian evolution"",
author = ""Holmes, Caroline M and Ghafari, Mahan and Abbas, Anzar and
Saravanan, Varun and Nemenman, Ilya"",
journal = ""Phys. Biol."",
volume = 14,
number = 5,
pages = ""055004"",
month = aug,
year = 2017,
language = ""en""
}",Phys. Biol.,Cell%20Learning/Holmes_et_al._2017_-_Luria-Delbruck_revisited_-_the_classic_experiment_does_not_rule_out_Lamarckian_evolution.pdf,Ilya Nemenman,,Directed mutation debate,"{Luria-Delbr{\u}ck}, revisited: the classic experiment does not rule out Lamarckian evolution",,2017
Serobyan2020-ck,"@ARTICLE{Serobyan2020-ck,
title = ""Transcriptional adaptation in Caenorhabditis elegans"",
author = ""Serobyan, Vahan and Kontarakis, Zacharias and El-Brolosy, Mohamed
A and Welker, Jordan M and Tolstenkov, Oleg and Saadeldein, Amr M
and Retzer, Nicholas and Gottschalk, Alexander and Wehman, Ann M
and Stainier, Didier Yr"",
journal = ""Elife"",
volume = 9,
month = jan,
year = 2020,
keywords = ""C. elegans; RNAi; chromosomes; gene expression; genetics;
genomics; mRNA decay; small RNA; transcriptional adaptation"",
language = ""en""
}",Elife,Cell%20Learning/Serobyan_et_al._2020_-_Transcriptional_adaptation_in_Caenorhabditis_elegans.pdf,,,Transcriptional Adaptation,Transcriptional adaptation in Caenorhabditis elegans,,2020
Chakravarty2020-xf,"@ARTICLE{Chakravarty2020-xf,
title = ""A Non-amyloid Prion Particle that Activates a Heritable Gene
Expression Program"",
author = ""Chakravarty, Anupam K and Smejkal, Tina and Itakura, Alan K and
Garcia, David M and Jarosz, Daniel F"",
journal = ""Mol. Cell"",
volume = 77,
number = 2,
pages = ""251--265.e9"",
month = jan,
year = 2020,
keywords = ""IDPs; RNA-binding proteins; epigenetics; non-amyloid prions;
phase separation; post-transcriptional gene regulation"",
language = ""en""
}",Mol. Cell,Cell%20Learning/Chakravarty_et_al._2020_-_A_Non-amyloid_Prion_Particle_that_Activates_a_Heritable_Gene_Expression_Program.pdf,Daniel Jarosz,,"LLPS, Prion",A Non-amyloid Prion Particle that Activates a Heritable Gene Expression Program,,2020
Melo2012-zi,"@ARTICLE{Melo2012-zi,
title = ""Inactivation of conserved C. elegans genes engages pathogen- and
xenobiotic-associated defenses"",
author = ""Melo, Justine A and Ruvkun, Gary"",
journal = ""Cell"",
volume = 149,
number = 2,
pages = ""452--466"",
month = apr,
year = 2012,
language = ""en""
}",Cell,Cell%20Learning/Melo_and_Ruvkun_2012_-_Inactivation_of_conserved_C._elegans_genes_engages_pathogen-_and_xenobiotic-associated_defenses.pdf,,,,Inactivation of conserved C. elegans genes engages pathogen- and xenobiotic-associated defenses,,2012
